year,jurisdiction,filing_status,lower_bound,upper_bound,tax_rate
2023,Federal,single,0,11000,0.10
2023,Federal,single,11001,44725,0.12
2023,Federal,single,44726,95375,0.22
2023,Federal,single,95376,182100,0.24
2023,Federal,single,182101,231250,0.32
2023,Federal,single,231251,578125,0.35
2023,Federal,single,578126,9999999999,0.37
2023,Federal,joint,0,22000,0.10
2023,Federal,joint,22001,89450,0.12
2023,Federal,joint,89451,190750,0.22
2023,Federal,joint,190751,364200,0.24
2023,Federal,joint,364201,462500,0.32
2023,Federal,joint,462501,693750,0.35
2023,Federal,joint,693751,9999999999,0.37
2023,Federal,separate,0,11000,0.10
2023,Federal,separate,11001,44725,0.12
2023,Federal,separate,44726,95375,0.22
2023,Federal,separate,95376,182100,0.24
2023,Federal,separate,182101,231250,0.32
2023,Federal,separate,231251,346875,0.35
2023,Federal,separate,346876,9999999999,0.37
2023,Federal,head,0,15700,0.10
2023,Federal,head,15701,59850,0.12
2023,Federal,head,59851,95350,0.22
2023,Federal,head,95351,182100,0.24
2023,Federal,head,182101,231250,0.32
2023,Federal,head,231251,578100,0.35
2023,Federal,head,578101,9999999999,0.37
2023,Federal,widow,0,22000,0.10
2023,Federal,widow,22001,89450,0.12
2023,Federal,widow,89451,190750,0.22
2023,Federal,widow,190751,364200,0.24
2023,Federal,widow,364201,462500,0.32
2023,Federal,widow,462501,693750,0.35
2023,Federal,widow,693751,9999999999,0.37
